Aforo,Este,Norte,Fecha,Qtotal (m3/s)
Dren ciego,194330,8103436,18/04/2012,0.751
Rossy,195723,8102026,18/04/2012,0.367
Puntilla,196473,8103514,15/05/2012,0.224
Campesino,194248,8103536,15/05/2012,0.381
Centro de visitantes,193407,8104162,15/05/2012,0.481
Motobomba,192546,8104722,15/05/2012,0.475
Camanejos,197321,8100714,15/05/2012,0.113
Dren ciego,194330,8103436,15/05/2012,0.047
Rossy,195723,8102026,15/05/2012,0.008
Puntilla,196473,8103514,14/06/2012,0.155
Campesino,194248,8103536,14/06/2012,0.307
Centro de visitantes,193407,8104162,14/06/2012,0.503
Motobomba,192546,8104722,14/06/2012,0.524
Camanejos,197321,8100714,14/06/2012,0.113
Dren ciego,194330,8103436,14/06/2012,0.034
Rossy,195723,8102026,14/06/2012,0.027
Puntilla,196473,8103514,13/07/2012,0.177
Campesino,194248,8103536,13/07/2012,0.307
Centro de visitantes,193407,8104162,13/07/2012,0.5
Motobomba,192546,8104722,13/07/2012,0.478
Camanejos,197321,8100714,13/07/2012,0.172
Dren ciego,194330,8103436,13/07/2012,0.069
Rossy,195723,8102026,13/07/2012,0.059
Puntilla,196473,8103514,20/08/2012,0.264
Campesino,194248,8103536,20/08/2012,0.745
Centro de visitantes,193407,8104162,20/08/2012,0.669
Motobomba,192546,8104722,20/08/2012,1.044
Camanejos,197321,8100714,20/08/2012,0.172
Dren ciego,194330,8103436,20/08/2012,0.069
Rossy,195723,8102026,20/08/2012,0.006
Puntilla,196473,8103514,12/09/2012,0.146
Campesino,194248,8103536,12/09/2012,0.745
Centro de visitantes,193407,8104162,12/09/2012,0.596
Motobomba,192546,8104722,12/09/2012,0.545
Camanejos,197321,8100714,12/09/2012,0.283
Dren ciego,194330,8103436,12/09/2012,0.084
Rossy,195723,8102026,12/09/2012,0.065
Puntilla,196473,8103514,10/10/2012,0.256
Campesino,194248,8103536,10/10/2012,0.693
Centro de visitantes,193407,8104162,10/10/2012,0.642
Motobomba,192546,8104722,10/10/2012,0.722
Camanejos,197321,8100714,10/10/2012,0.194
Dren ciego,194330,8103436,10/10/2012,0.071
Rossy,195723,8102026,10/10/2012,0.158
Puntilla,196473,8103514,13/11/2012,0.302
Campesino,194248,8103536,13/11/2012,0.291
Centro de visitantes,193407,8104162,13/11/2012,0.738
Motobomba,192546,8104722,13/11/2012,0.574
Camanejos,197321,8100714,13/11/2012,0.385
Dren ciego,194330,8103436,13/11/2012,0.289
Rossy,195723,8102026,13/11/2012,0.273
Puntilla,196473,8103514,13/12/2012,0.17
Campesino,194248,8103536,13/12/2012,0.588
Centro de visitantes,193407,8104162,13/12/2012,0.572
Motobomba,192546,8104722,13/12/2012,0.519
Camanejos,197321,8100714,13/12/2012,0.161
Dren ciego,194330,8103436,13/12/2012,0.009
Rossy,195723,8102026,13/12/2012,0.229
Puntilla,196473,8103514,14/01/2011,0.186
Campesino,194248,8103536,14/01/2011,0.302
Centro de visitantes,193407,8104162,14/01/2011,0.441
Motobomba,192546,8104722,14/01/2011,0.409
Camanejos,197321,8100714,14/01/2011,0.125
Dren ciego,194330,8103436,14/01/2011,0.209
Rossy,195723,8102026,14/01/2011,0.227
Puntilla,196473,8103514,14/02/2011,0.196
Campesino,194248,8103536,14/02/2011,0.391
Centro de visitantes,193407,8104162,14/02/2011,0.336
Motobomba,192546,8104722,14/02/2011,0.621
Camanejos,197321,8100714,14/02/2011,0.048
Dren ciego,194330,8103436,14/02/2011,0.18
Rossy,195723,8102026,14/02/2011,0.176
Puntilla,196473,8103514,14/03/2011,0.188
Campesino,194248,8103536,14/03/2011,0.391
Centro de visitantes,193407,8104162,14/03/2011,0.465
Motobomba,192546,8104722,14/03/2011,0.498
Camanejos,197321,8100714,14/03/2011,0.113
Dren ciego,194330,8103436,14/03/2011,0.176
Rossy,195723,8102026,14/03/2011,0.285
Puntilla,196473,8103514,15/04/2011,0.218
Campesino,194248,8103536,15/04/2011,0.391
Centro de visitantes,193407,8104162,15/04/2011,0.496
Motobomba,192546,8104722,15/04/2011,0.779
Camanejos,197321,8100714,15/04/2011,0.113
Dren ciego,194330,8103436,15/04/2011,0.146
Rossy,195723,8102026,15/04/2011,0.285
Puntilla,196473,8103514,12/05/2011,0.341
Campesino,194248,8103536,12/05/2011,0.391
Centro de visitantes,193407,8104162,12/05/2011,0.73
Motobomba,192546,8104722,12/05/2011,0.673
Camanejos,197321,8100714,12/05/2011,0.113
Dren ciego,194330,8103436,12/05/2011,0.133
Rossy,195723,8102026,12/05/2011,0.054
Puntilla,196473,8103514,14/06/2011,0.248
Campesino,194248,8103536,14/06/2011,0.391
Centro de visitantes,193407,8104162,14/06/2011,1.282
Motobomba,192546,8104722,14/06/2011,0.673
Camanejos,197321,8100714,14/06/2011,0.016
Dren ciego,194330,8103436,14/06/2011,0.215
Rossy,195723,8102026,14/06/2011,0.029
Puntilla,196473,8103514,14/07/2011,0.288
Campesino,194248,8103536,14/07/2011,1.048
Centro de visitantes,193407,8104162,14/07/2011,0.482
Motobomba,192546,8104722,14/07/2011,0.95
Camanejos,197321,8100714,14/07/2011,0.001
Dren ciego,194330,8103436,14/07/2011,0
Rossy,195723,8102026,14/07/2011,0.011
Puntilla,196473,8103514,17/08/2011,0.328
Campesino,194248,8103536,17/08/2011,1.048
Centro de visitantes,193407,8104162,17/08/2011,0.671
Motobomba,192546,8104722,17/08/2011,0.95
Camanejos,197321,8100714,17/08/2011,0.007
Dren ciego,194330,8103436,17/08/2011,0.024
Rossy,195723,8102026,17/08/2011,0.058
Puntilla,196473,8103514,14/09/2011,0.265
Campesino,194248,8103536,14/09/2011,0.716
Centro de visitantes,193407,8104162,14/09/2011,0.778
Motobomba,192546,8104722,14/09/2011,0.786
Camanejos,197321,8100714,14/09/2011,0.033
Dren ciego,194330,8103436,14/09/2011,0.037
Rossy,195723,8102026,14/09/2011,0.081
Puntilla,196473,8103514,14/10/2011,0.174
Campesino,194248,8103536,14/10/2011,0.716
Centro de visitantes,193407,8104162,14/10/2011,0.444
Motobomba,192546,8104722,14/10/2011,0.786
Camanejos,197321,8100714,14/10/2011,0.017
Dren ciego,194330,8103436,14/10/2011,0.071
Rossy,195723,8102026,14/10/2011,0.102
Puntilla,196473,8103514,15/11/2011,0.189
Campesino,194248,8103536,15/11/2011,0.501
Centro de visitantes,193407,8104162,15/11/2011,0.246
Motobomba,192546,8104722,15/11/2011,0.428
Camanejos,197321,8100714,15/11/2011,0.007
Dren ciego,194330,8103436,15/11/2011,0.498
Rossy,195723,8102026,15/11/2011,0.02
Puntilla,196473,8103514,15/12/2011,0.198
Campesino,194248,8103536,15/12/2011,0.501
Centro de visitantes,193407,8104162,15/12/2011,0.535
Motobomba,192546,8104722,15/12/2011,0.428
Camanejos,197321,8100714,15/12/2011,0.007
Dren ciego,194330,8103436,15/12/2011,0.126
Rossy,195723,8102026,15/12/2011,0.106
Puntilla,196473,8103514,14/01/2010,0.125
Campesino,194248,8103536,14/01/2010,0.713
Centro de visitantes,193407,8104162,14/01/2010,0.465
Motobomba,192546,8104722,14/01/2010,1.086
Camanejos,197321,8100714,14/01/2010,0.008
Dren ciego,194330,8103436,14/01/2010,0.153
Rossy,195723,8102026,14/01/2010,0.162
Puntilla,196473,8103514,15/02/2010,0.344
Campesino,194248,8103536,15/02/2010,0.902
Centro de visitantes,193407,8104162,15/02/2010,0.769
Motobomba,192546,8104722,15/02/2010,0.867
Camanejos,197321,8100714,15/02/2010,0.077
Dren ciego,194330,8103436,15/02/2010,0.208
Rossy,195723,8102026,15/02/2010,0.143
Puntilla,196473,8103514,13/03/2010,0.375
Campesino,194248,8103536,13/03/2010,1.38
Centro de visitantes,193407,8104162,13/03/2010,1.069
Motobomba,192546,8104722,13/03/2010,0.74
Camanejos,197321,8100714,13/03/2010,0.049
Dren ciego,194330,8103436,13/03/2010,0.011
Rossy,195723,8102026,13/03/2010,0.007
Puntilla,196473,8103514,15/04/2010,0.347
Campesino,194248,8103536,15/04/2010,1.1
Centro de visitantes,193407,8104162,15/04/2010,0.61
Motobomba,192546,8104722,15/04/2010,0.885
Camanejos,197321,8100714,15/04/2010,0.068
Dren ciego,194330,8103436,15/04/2010,0.054
Rossy,195723,8102026,15/04/2010,0.356
Puntilla,196473,8103514,18/05/2010,0.249
Campesino,194248,8103536,18/05/2010,0.696
Centro de visitantes,193407,8104162,18/05/2010,0.621
Motobomba,192546,8104722,18/05/2010,0.67
Camanejos,197321,8100714,18/05/2010,0.01
Dren ciego,194330,8103436,18/05/2010,0.01
Rossy,195723,8102026,18/05/2010,0.004
Puntilla,196473,8103514,21/06/2010,0.376
Campesino,194248,8103536,21/06/2010,0.585
Centro de visitantes,193407,8104162,21/06/2010,0.523
Motobomba,192546,8104722,21/06/2010,0.749
Camanejos,197321,8100714,21/06/2010,0.009
Dren ciego,194330,8103436,21/06/2010,0
Rossy,195723,8102026,21/06/2010,0.005
Puntilla,196473,8103514,14/07/2010,0.306
Campesino,194248,8103536,14/07/2010,0.734
Centro de visitantes,193407,8104162,14/07/2010,0.607
Motobomba,192546,8104722,14/07/2010,1.12
Camanejos,197321,8100714,14/07/2010,0.048
Dren ciego,194330,8103436,14/07/2010,0.067
Rossy,195723,8102026,14/07/2010,0.016
Puntilla,196473,8103514,12/08/2010,0.319
Campesino,194248,8103536,12/08/2010,0.823
Centro de visitantes,193407,8104162,12/08/2010,0.437
Motobomba,192546,8104722,12/08/2010,0.468
Camanejos,197321,8100714,12/08/2010,0.003
Dren ciego,194330,8103436,12/08/2010,0.035
Rossy,195723,8102026,12/08/2010,0.002
Puntilla,196473,8103514,14/09/2010,0.206
Campesino,194248,8103536,14/09/2010,0.443
Centro de visitantes,193407,8104162,14/09/2010,0.37
Motobomba,192546,8104722,14/09/2010,0.394
Camanejos,197321,8100714,14/09/2010,0.07
Dren ciego,194330,8103436,14/09/2010,0.004
Rossy,195723,8102026,14/09/2010,0.023
Puntilla,196473,8103514,15/10/2010,0.206
Campesino,194248,8103536,15/10/2010,0.424
Centro de visitantes,193407,8104162,15/10/2010,0.204
Motobomba,192546,8104722,15/10/2010,0.324
Camanejos,197321,8100714,15/10/2010,0.001
Dren ciego,194330,8103436,15/10/2010,0.004
Rossy,195723,8102026,15/10/2010,0
Puntilla,196473,8103514,23/11/2010,0.261
Campesino,194248,8103536,23/11/2010,0.73
Centro de visitantes,193407,8104162,23/11/2010,0.516
Motobomba,192546,8104722,23/11/2010,0.542
Camanejos,197321,8100714,23/11/2010,0.005
Dren ciego,194330,8103436,23/11/2010,0.004
Rossy,195723,8102026,23/11/2010,0.492
Puntilla,196473,8103514,13/12/2010,0.391
Campesino,194248,8103536,13/12/2010,0.598
Centro de visitantes,193407,8104162,13/12/2010,0.387
Motobomba,192546,8104722,13/12/2010,0.747
Camanejos,197321,8100714,13/12/2010,0.006
Dren ciego,194330,8103436,13/12/2010,0.005
Rossy,195723,8102026,13/12/2010,0.002
Puntilla,196473,8103514,10/01/2009,0.146
Campesino,194248,8103536,10/01/2009,0.626
Centro de visitantes,193407,8104162,10/01/2009,0.383
Motobomba,192546,8104722,10/01/2009,0.506
Camanejos,197321,8100714,10/01/2009,0.022
Dren ciego,194330,8103436,10/01/2009,0.264
Rossy,195723,8102026,10/01/2009,0.308
Puntilla,196473,8103514,09/02/2009,0.275
Campesino,194248,8103536,09/02/2009,0.677
Centro de visitantes,193407,8104162,09/02/2009,0.537
Motobomba,192546,8104722,09/02/2009,0.611
Camanejos,197321,8100714,09/02/2009,0.118
Dren ciego,194330,8103436,09/02/2009,0.327
Rossy,195723,8102026,09/02/2009,0.091
Puntilla,196473,8103514,15/03/2009,0.348
Campesino,194248,8103536,15/03/2009,1.034
Centro de visitantes,193407,8104162,15/03/2009,0.982
Motobomba,192546,8104722,15/03/2009,0.712
Camanejos,197321,8100714,15/03/2009,0.329
Dren ciego,194330,8103436,15/03/2009,0.106
Rossy,195723,8102026,15/03/2009,0.013
Puntilla,196473,8103514,15/04/2009,0.192
Campesino,194248,8103536,15/04/2009,0.686
Centro de visitantes,193407,8104162,15/04/2009,0.624
Motobomba,192546,8104722,15/04/2009,0.717
Camanejos,197321,8100714,15/04/2009,0.152
Dren ciego,194330,8103436,15/04/2009,0.187
Rossy,195723,8102026,15/04/2009,0.368
Puntilla,196473,8103514,18/05/2009,0.362
Campesino,194248,8103536,18/05/2009,0.629
Centro de visitantes,193407,8104162,18/05/2009,0.66
Motobomba,192546,8104722,18/05/2009,0.595
Camanejos,197321,8100714,18/05/2009,0.009
Dren ciego,194330,8103436,18/05/2009,0.078
Rossy,195723,8102026,18/05/2009,0.004
Puntilla,196473,8103514,21/06/2009,0.325
Campesino,194248,8103536,21/06/2009,0.917
Centro de visitantes,193407,8104162,21/06/2009,0.497
Motobomba,192546,8104722,21/06/2009,0.57
Camanejos,197321,8100714,21/06/2009,0.001
Dren ciego,194330,8103436,21/06/2009,0
Rossy,195723,8102026,21/06/2009,0.005
Puntilla,196473,8103514,12/07/2009,0.237
Campesino,194248,8103536,12/07/2009,0.978
Centro de visitantes,193407,8104162,12/07/2009,0.763
Motobomba,192546,8104722,12/07/2009,1.003
Camanejos,197321,8100714,12/07/2009,0
Dren ciego,194330,8103436,12/07/2009,0.005
